book_authors,book_title,genres,comb
Nicholas Sparks,a walk to remember,Romance Fiction Womens Fiction Chick Lit Young Adult Contemporary,Nicholas Sparks a walk to remember Romance Fiction Womens Fiction Chick Lit Young Adult Contemporary
Gabriel García Márquez Edith Grossman,love in the time of cholera,Fiction Classics Historical Historical Fiction Romance Magical Realism,Gabriel García Márquez Edith Grossman love in the time of cholera Fiction Classics Historical Historical Fiction Romance Magical Realism
Veronica Roth,insurgent,Young Adult Science Fiction Dystopia Fiction Fantasy,Veronica Roth insurgent Young Adult Science Fiction Dystopia Fiction Fantasy
Colleen McCullough,the thorn birds,Fiction Historical Historical Fiction Romance Classics Cultural Australia Historical,Colleen McCullough the thorn birds Fiction Historical Historical Fiction Romance Classics Cultural Australia Historical
J.K. Rowling Mary GrandPré,harry potter and the chamber of secrets,Fantasy Young Adult Fiction,J.K. Rowling Mary GrandPré harry potter and the chamber of secrets Fantasy Young Adult Fiction
Dr. Seuss,how the grinch stole christmas!,Childrens Childrens Picture Books Classics Holiday Christmas Fiction Holiday Fantasy Poetry Humor Kids,Dr. Seuss how the grinch stole christmas! Childrens Childrens Picture Books Classics Holiday Christmas Fiction Holiday Fantasy Poetry Humor Kids
Zora Neale Hurston,their eyes were watching god,Classics Fiction Historical Historical Fiction Academic School Cultural African American,Zora Neale Hurston their eyes were watching god Classics Fiction Historical Historical Fiction Academic School Cultural African American
Ian McEwan,atonement,Fiction Historical Historical Fiction Romance Classics Historical,Ian McEwan atonement Fiction Historical Historical Fiction Romance Classics Historical
Oscar Wilde,the importance of being earnest,Classics Plays Fiction Drama Humor Literature Plays Theatre Academic School Humor Comedy Romance,Oscar Wilde the importance of being earnest Classics Plays Fiction Drama Humor Literature Plays Theatre Academic School Humor Comedy Romance
Douglas Adams,the ultimate hitchhiker's guide to the galaxy,Science Fiction Fiction Humor Fantasy Classics,Douglas Adams the ultimate hitchhiker's guide to the galaxy Science Fiction Fiction Humor Fantasy Classics
Richelle Mead,frostbite,Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance,Richelle Mead frostbite Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance
Elizabeth Gilbert,"eat, pray, love",Nonfiction Autobiography Memoir Travel,"Elizabeth Gilbert eat, pray, love Nonfiction Autobiography Memoir Travel"
Alexandre Dumas,the three musketeers,Classics Fiction Historical Historical Fiction Adventure,Alexandre Dumas the three musketeers Classics Fiction Historical Historical Fiction Adventure
L. Frank Baum W.W. Denslow,the wonderful wizard of oz,Classics Fantasy Fiction Childrens,L. Frank Baum W.W. Denslow the wonderful wizard of oz Classics Fantasy Fiction Childrens
Margaret Wise Brown Clement Hurd,goodnight moon,Childrens Classics,Margaret Wise Brown Clement Hurd goodnight moon Childrens Classics
Dr. Seuss,the lorax,Childrens Childrens Picture Books Fiction,Dr. Seuss the lorax Childrens Childrens Picture Books Fiction
Richelle Mead,blood promise,Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance,Richelle Mead blood promise Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance
Wilson Rawls,where the red fern grows,Classics Fiction Young Adult Childrens,Wilson Rawls where the red fern grows Classics Fiction Young Adult Childrens
Pearl S. Buck,the good earth,Classics Fiction Historical Historical Fiction Cultural China Literature,Pearl S. Buck the good earth Classics Fiction Historical Historical Fiction Cultural China Literature
Thomas Hardy Margaret R. Higonnet Tim Dolin,tess of the d'urbervilles,Classics Fiction Literature Romance,Thomas Hardy Margaret R. Higonnet Tim Dolin tess of the d'urbervilles Classics Fiction Literature Romance
William Shakespeare Barbara A. Mowat Paul Werstine Catherine Belsey,a midsummer night's dream,Classics Plays Fiction Drama Fantasy,William Shakespeare Barbara A. Mowat Paul Werstine Catherine Belsey a midsummer night's dream Classics Plays Fiction Drama Fantasy
Kahlil Gibran,the prophet,Poetry Philosophy Classics Fiction Spirituality Religion,Kahlil Gibran the prophet Poetry Philosophy Classics Fiction Spirituality Religion
Marion Zimmer Bradley,the mists of avalon,Fantasy Fiction Historical Historical Fiction Mythology Arthurian Science Fiction Fantasy,Marion Zimmer Bradley the mists of avalon Fantasy Fiction Historical Historical Fiction Mythology Arthurian Science Fiction Fantasy
Joseph Conrad,heart of darkness,Classics Fiction Literature Cultural Africa Academic School,Joseph Conrad heart of darkness Classics Fiction Literature Cultural Africa Academic School
Terry Pratchett Neil Gaiman,"good omens: the nice and accurate prophecies of agnes nutter, witch",Fantasy Fiction Humor Fantasy Urban Fantasy,"Terry Pratchett Neil Gaiman good omens: the nice and accurate prophecies of agnes nutter, witch Fantasy Fiction Humor Fantasy Urban Fantasy"
Amy Tan,the joy luck club,Fiction Historical Historical Fiction Classics Cultural China Contemporary,Amy Tan the joy luck club Fiction Historical Historical Fiction Classics Cultural China Contemporary
J.R.R. Tolkien,the hobbit,Fantasy Classics Fiction,J.R.R. Tolkien the hobbit Fantasy Classics Fiction
Rick Riordan,the battle of the labyrinth,Fantasy Young Adult Fantasy Mythology,Rick Riordan the battle of the labyrinth Fantasy Young Adult Fantasy Mythology
Richard Bach Russell Munson,jonathan livingston seagull,Fiction Classics Philosophy Fantasy Spirituality Inspirational,Richard Bach Russell Munson jonathan livingston seagull Fiction Classics Philosophy Fantasy Spirituality Inspirational
Jane Carruth Rene Cloke Lewis Carroll,alice in wonderland,Classics Fantasy Fiction Childrens,Jane Carruth Rene Cloke Lewis Carroll alice in wonderland Classics Fantasy Fiction Childrens
Norton Juster Jules Feiffer,the phantom tollbooth,Fantasy Fiction Childrens Classics Young Adult,Norton Juster Jules Feiffer the phantom tollbooth Fantasy Fiction Childrens Classics Young Adult
Jack London,the call of the wild,Classics Fiction Adventure Young Adult Animals Historical Historical Fiction Literature Academic School Childrens Novels,Jack London the call of the wild Classics Fiction Adventure Young Adult Animals Historical Historical Fiction Literature Academic School Childrens Novels
Cassandra Clare,clockwork princess,Fantasy Young Adult Romance Fantasy Paranormal,Cassandra Clare clockwork princess Fantasy Young Adult Romance Fantasy Paranormal
Rick Riordan,the sea of monsters,Fantasy Young Adult Fantasy Mythology Fiction,Rick Riordan the sea of monsters Fantasy Young Adult Fantasy Mythology Fiction
Dr. Seuss,"oh, the places you'll go!",Childrens Picture Books Childrens Fiction,"Dr. Seuss oh, the places you'll go! Childrens Picture Books Childrens Fiction"
Gustave Flaubert Malcolm Bowie Margaret Mauldon Mark Overstall,madame bovary,Classics Fiction Cultural France Literature,Gustave Flaubert Malcolm Bowie Margaret Mauldon Mark Overstall madame bovary Classics Fiction Cultural France Literature
Stieg Larsson Reg Keeland,the girl who played with fire,Fiction Mystery Thriller Mystery Crime,Stieg Larsson Reg Keeland the girl who played with fire Fiction Mystery Thriller Mystery Crime
Katherine Paterson,bridge to terabithia,Young Adult Fiction Childrens Fantasy Classics,Katherine Paterson bridge to terabithia Young Adult Fiction Childrens Fantasy Classics
Rick Riordan,the titan's curse,Fantasy Young Adult Fantasy Mythology Fiction,Rick Riordan the titan's curse Fantasy Young Adult Fantasy Mythology Fiction
Suzanne Collins,the hunger games trilogy boxset,Young Adult Fiction Fantasy Science Fiction Dystopia Science Fiction,Suzanne Collins the hunger games trilogy boxset Young Adult Fiction Fantasy Science Fiction Dystopia Science Fiction
E.L. James,fifty shades of grey,Romance Fiction Adult Fiction Erotica Adult Erotica Bdsm,E.L. James fifty shades of grey Romance Fiction Adult Fiction Erotica Adult Erotica Bdsm
Charles Dickens Philip Horne George Cruikshank,oliver twist,Classics Fiction Literature Historical Historical Fiction,Charles Dickens Philip Horne George Cruikshank oliver twist Classics Fiction Literature Historical Historical Fiction
Jean M. Auel,the clan of the cave bear,Historical Historical Fiction Fiction Fantasy Historical Classics Romance Adventure Historical Fiction Prehistoric Adult Adult Fiction,Jean M. Auel the clan of the cave bear Historical Historical Fiction Fiction Fantasy Historical Classics Romance Adventure Historical Fiction Prehistoric Adult Adult Fiction
Geoffrey Chaucer Nevill Coghill,the canterbury tales,Classics Fiction Poetry Literature,Geoffrey Chaucer Nevill Coghill the canterbury tales Classics Fiction Poetry Literature
James Joyce Morris L. Ernst John M. Woolsey,ulysses,Classics Fiction Literature Novels,James Joyce Morris L. Ernst John M. Woolsey ulysses Classics Fiction Literature Novels
James Dashner,the maze runner,Young Adult Science Fiction Dystopia Science Fiction,James Dashner the maze runner Young Adult Science Fiction Dystopia Science Fiction
Robert Louis Stevenson,treasure island,Classics Fiction Adventure Young Adult,Robert Louis Stevenson treasure island Classics Fiction Adventure Young Adult
John Irving,the world according to garp,Fiction Classics Contemporary Literature Novels,John Irving the world according to garp Fiction Classics Contemporary Literature Novels
Michael Ende Ralph Manheim Roswitha Quadflieg Miguel Sáenz,the neverending story,Fantasy Classics Fiction Young Adult Childrens,Michael Ende Ralph Manheim Roswitha Quadflieg Miguel Sáenz the neverending story Fantasy Classics Fiction Young Adult Childrens
Ernest Hemingway,a farewell to arms,Classics Fiction Historical Historical Fiction War Literature,Ernest Hemingway a farewell to arms Classics Fiction Historical Historical Fiction War Literature
Charles Dickens Jeremy Tambling,david copperfield,Classics Fiction Literature Historical Historical Fiction,Charles Dickens Jeremy Tambling david copperfield Classics Fiction Literature Historical Historical Fiction
Gregory Maguire Douglas Smith,wicked: the life and times of the wicked witch of the west,Fantasy Fiction Adult,Gregory Maguire Douglas Smith wicked: the life and times of the wicked witch of the west Fantasy Fiction Adult
Jay Asher,thirteen reasons why,Young Adult Contemporary Fiction Realistic Fiction,Jay Asher thirteen reasons why Young Adult Contemporary Fiction Realistic Fiction
George R.R. Martin,a storm of swords,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy,George R.R. Martin a storm of swords Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy
James Clavell,shōgun,Historical Historical Fiction Fiction Cultural Japan Historical Classics,James Clavell shōgun Historical Historical Fiction Fiction Cultural Japan Historical Classics
Philippa Gregory,the other boleyn girl,Historical Historical Fiction Fiction Historical Romance,Philippa Gregory the other boleyn girl Historical Historical Fiction Fiction Historical Romance
Jonathan Safran Foer,extremely loud and incredibly close,Fiction Contemporary Historical Historical Fiction,Jonathan Safran Foer extremely loud and incredibly close Fiction Contemporary Historical Historical Fiction
Thomas Keneally,schindler's list,History Nonfiction Classics World War II Holocaust War,Thomas Keneally schindler's list History Nonfiction Classics World War II Holocaust War
Richelle Mead,last sacrifice,Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance,Richelle Mead last sacrifice Young Adult Paranormal Vampires Fantasy Fantasy Paranormal Romance
Lauren Kate,fallen,Young Adult Fantasy Paranormal Angels Fantasy Paranormal Romance,Lauren Kate fallen Young Adult Fantasy Paranormal Angels Fantasy Paranormal Romance
Philip Pullman Peter Bailey,his dark materials,Fantasy Young Adult Fiction,Philip Pullman Peter Bailey his dark materials Fantasy Young Adult Fiction
Frances Hodgson Burnett Nancy Bond,a little princess,Classics Fiction Childrens Young Adult,Frances Hodgson Burnett Nancy Bond a little princess Classics Fiction Childrens Young Adult
John Kennedy Toole Walker Percy,a confederacy of dunces,Fiction Classics Humor Literature,John Kennedy Toole Walker Percy a confederacy of dunces Fiction Classics Humor Literature
Ernest Hemingway,the sun also rises,Classics Fiction Literature Novels,Ernest Hemingway the sun also rises Classics Fiction Literature Novels
Ki Longfellow,the secret magdalene,Historical Historical Fiction Fiction Religion Historical Spirituality Literature Biblical Fiction Biblical Book Club Adult,Ki Longfellow the secret magdalene Historical Historical Fiction Fiction Religion Historical Spirituality Literature Biblical Fiction Biblical Book Club Adult
